Date	Pet	Classic	Container	Modern	Out side	Currency
1/2005	265.5	266.25	258.8	22.3	136.85	USD
2/2005	127.35	127.9	124.4	24.6	119	USD
3/2005	226	230.4	224.8	28.4	141.15	USD
4/2005	137.4	138.45	133.8	22.3	105.2	USD
5/2005	60.7	60.9	60	34.5	63.75	USD
6/2005	131.55	133.45	130.35	13.6	130.45	USD
7/2005	206	208.65	199.85	20.4	204.75	USD
8/2005	54	54.25	53.1	54.5	120.75	USD
9/2005	136.6	137.8	134.9	55.6	217.9	USD
10/2005	90.8	91.15	89.35	16.7	116.8	USD
11/2005	113	114.25	111.6	77.2	118.55	USD
12/2005	182.05	186.4	178.15	32.6	68.05	USD
1/2006	118	118.95	117.1	12.3	134.5	USD
2/2006	94	95.25	91.95	22.3	143.9	USD
3/2006	111.25	112.7	109.75	24.6	108.35	USD
4/2006	283.5	288.65	282.4	28.4	140.05	USD
5/2006	123.3	124.35	121.6	22.3	116.85	USD
6/2006	70.2	70.5	69.3	34.5	274.95	USD
7/2006	131.8	132.15	129	13.6	120.45	USD
8/2006	132.9	133.45	128.85	20.4	231.65	USD
9/2006	113.75	114.5	111.05	54.5	132.7	USD
10/2006	139.4	141.25	137.8	55.6	127.25	USD
11/2006	118.3	119.6	115.7	16.7	103.25	USD
12/2006	138.65	139.55	132.5	77.2	128.05	USD
1/2007	55.5	55.75	53	32.6	96.1	USD
2/2007	138.9	142.45	138.9	12.3	266.15	USD
3/2007	73.8	74.2	72.6	22.3	138.8	USD
4/2007	57.5	57.6	57	24.6	100	USD
5/2007	108.7	109.35	107.4	28.4	2044	USD
6/2007	173.55	178.4	173.55	22.3	401	USD
7/2007	115	115.25	114.45	34.5	632	USD
8/2007	113	113.9	111.5	13.6	786	USD
9/2007	132	132.2	128.8	20.4	201	USD
